scenario,samples,csm_sign_mean_us,csm_sign_p99_us,cantp_frag_mean_us,cantp_frag_p99_us,bus_transit_mean_us,bus_transit_p99_us,csm_verify_mean_us,csm_verify_p99_us,com_pdur_secoc_mean_us,e2e_mean_us,e2e_p99_us
attacks_aggregate_hmac,1400,4.11,15.71,0.09,0.13,0.00,0.00,3.84,14.91,749.47,757.51,915.40
attacks_aggregate_hybrid,1400,109.62,358.38,2.24,5.36,0.00,0.00,12.44,53.58,831.72,956.02,1344.02
attacks_aggregate_pqc,1400,105.30,338.06,2.08,2.52,0.00,0.00,17.12,49.00,849.61,974.10,1299.30
attacks_dos_flood_hmac,200,7.43,3.16,0.10,0.15,3.85,17.63,4.65,14.74,731.68,747.71,913.55
attacks_dos_flood_hybrid,200,110.11,290.30,2.10,2.59,64.80,152.15,40.37,78.18,783.58,1000.95,1965.48
attacks_dos_flood_pqc,200,112.60,325.87,2.03,2.29,65.70,161.40,34.36,53.58,773.71,988.40,2016.07
attacks_downgrade_hmac_hmac,200,2.13,2.91,0.09,0.13,3.78,14.01,5.32,14.46,758.18,769.51,916.31
attacks_downgrade_hmac_hybrid,200,106.83,342.66,2.12,2.67,65.27,190.64,6.82,30.23,755.50,936.54,1272.59
attacks_downgrade_hmac_pqc,200,98.01,272.95,2.04,2.56,65.52,180.13,36.55,68.36,795.40,997.53,2004.25
attacks_freshness_rollback_hmac,200,8.39,19.66,0.10,0.14,5.89,19.29,0.00,0.00,771.32,785.70,944.35
attacks_freshness_rollback_hybrid,200,114.42,324.48,2.09,2.42,65.63,150.26,0.00,0.00,799.73,981.86,2000.49
attacks_freshness_rollback_pqc,200,101.43,312.94,2.04,2.16,58.13,132.67,0.00,0.00,757.57,919.17,1222.76
attacks_harvest_now_hmac,200,8.04,21.07,0.09,0.14,3.52,11.18,4.92,18.95,732.82,749.40,903.59
attacks_harvest_now_hybrid,200,107.78,318.55,2.12,2.46,67.02,191.95,43.98,70.95,785.44,1006.34,2039.74
attacks_harvest_now_pqc,200,107.41,411.65,2.12,7.11,64.95,225.61,33.78,60.21,768.36,976.63,1958.74
attacks_mitm_key_confuse_hmac,200,2.21,5.76,0.09,0.12,4.58,21.31,5.89,18.18,746.78,759.55,894.58
attacks_mitm_key_confuse_hybrid,200,105.29,281.92,2.06,2.45,84.42,159.49,5.37,14.99,770.19,967.33,1890.62
attacks_mitm_key_confuse_pqc,200,99.87,358.43,2.06,2.34,85.74,152.96,16.31,43.28,767.16,971.13,1958.37
attacks_replay_hmac,200,11.87,25.24,0.10,0.14,4.70,26.65,0.15,4.66,746.37,763.20,937.07
attacks_replay_hybrid,200,119.61,331.42,2.06,2.56,44.83,214.31,0.87,34.73,771.99,939.36,1197.82
attacks_replay_pqc,200,114.45,367.53,2.09,5.21,49.67,130.55,0.62,35.30,764.93,931.76,1240.53
attacks_sig_fuzz_hmac,200,2.26,8.73,0.10,0.13,4.20,21.79,5.48,14.54,755.75,767.78,921.61
attacks_sig_fuzz_hybrid,200,103.73,305.48,2.21,5.79,67.58,153.19,22.61,37.50,774.14,970.27,1260.37
attacks_sig_fuzz_pqc,200,101.15,268.98,2.06,2.43,68.24,161.87,14.21,24.68,757.01,942.68,1197.21
attacks_tamper_auth_hmac,200,2.20,7.65,0.10,0.14,4.42,17.33,5.90,16.07,747.01,759.64,899.75
attacks_tamper_auth_hybrid,200,109.14,299.94,2.13,2.30,55.69,137.79,30.22,58.39,743.00,940.18,1170.63
attacks_tamper_auth_pqc,200,102.42,277.00,2.03,2.31,60.07,142.85,28.58,77.30,776.22,969.32,1313.86
attacks_tamper_payload_hmac,200,2.25,3.40,0.10,0.13,4.45,27.45,5.50,16.40,753.74,766.04,903.42
attacks_tamper_payload_hybrid,200,100.63,248.84,2.24,6.43,58.08,139.73,17.27,56.37,745.95,924.17,1143.64
attacks_tamper_payload_pqc,200,97.43,335.84,2.06,2.32,60.07,133.75,30.09,49.56,765.60,955.25,1166.31
attacks_timing_probe_hmac,200,7.63,2.94,0.09,0.13,3.97,18.27,5.15,16.59,741.69,758.53,909.68
attacks_timing_probe_hybrid,200,102.95,344.02,2.11,2.56,62.56,172.05,45.78,115.74,768.88,982.28,1338.94
attacks_timing_probe_pqc,200,106.39,338.56,2.38,6.78,62.96,212.04,33.37,50.27,753.82,958.92,1281.93
baseline_hmac_r1,2800,2.83,7.28,0.14,0.31,4.98,19.73,7.09,20.62,760.20,775.24,963.85
baseline_hybrid_r1,2800,106.98,337.55,4.56,21.51,26.75,105.99,43.18,84.36,884.05,1065.52,2149.82
baseline_pqc_r1,2800,111.93,365.89,4.60,21.05,28.15,107.09,38.98,77.29,907.26,1090.93,2162.74
bus_failure_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
