scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
attacks_aggregate_hmac,1400,757.51,743.60,860.43,915.40,948.10,4.11,3.84,0.09,0.00
attacks_aggregate_hybrid,1400,956.02,932.84,1134.52,1344.02,1983.53,109.62,12.44,2.24,0.00
attacks_aggregate_pqc,1400,974.10,920.16,1104.75,1299.30,2140.00,105.30,17.12,2.08,0.00
attacks_dos_flood_hmac,200,747.71,734.15,817.74,913.55,993.27,7.43,4.65,0.10,3.85
attacks_dos_flood_hybrid,200,1000.95,968.76,1156.35,1965.48,1978.15,110.11,40.37,2.10,64.80
attacks_dos_flood_pqc,200,988.40,955.54,1162.42,2016.07,2098.41,112.60,34.36,2.03,65.70
attacks_downgrade_hmac_hmac,200,769.51,752.36,865.61,916.31,926.68,2.13,5.32,0.09,3.78
attacks_downgrade_hmac_hybrid,200,936.54,903.52,1110.21,1272.59,1331.21,106.83,6.82,2.12,65.27
attacks_downgrade_hmac_pqc,200,997.53,966.93,1156.57,2004.25,2046.61,98.01,36.55,2.04,65.52
attacks_freshness_rollback_hmac,200,785.70,767.60,891.13,944.35,962.25,8.39,0.00,0.10,5.89
attacks_freshness_rollback_hybrid,200,981.86,941.55,1165.25,2000.49,2025.96,114.42,0.00,2.09,65.63
attacks_freshness_rollback_pqc,200,919.17,888.36,1078.73,1222.76,1223.39,101.43,0.00,2.04,58.13
attacks_harvest_now_hmac,200,749.40,733.86,820.44,903.59,911.07,8.04,4.92,0.09,3.52
attacks_harvest_now_hybrid,200,1006.34,971.37,1195.29,2039.74,2065.01,107.78,43.98,2.12,67.02
attacks_harvest_now_pqc,200,976.63,940.23,1141.09,1958.74,1961.51,107.41,33.78,2.12,64.95
attacks_mitm_key_confuse_hmac,200,759.55,740.29,847.41,894.58,903.51,2.21,5.89,0.09,4.58
attacks_mitm_key_confuse_hybrid,200,967.33,936.99,1167.05,1890.62,1945.52,105.29,5.37,2.06,84.42
attacks_mitm_key_confuse_pqc,200,971.13,952.08,1148.33,1958.37,1999.65,99.87,16.31,2.06,85.74
attacks_replay_hmac,200,763.20,736.85,863.08,937.07,1097.30,11.87,0.15,0.10,4.70
attacks_replay_hybrid,200,939.36,905.02,1116.17,1197.82,1281.38,119.61,0.87,2.06,44.83
attacks_replay_pqc,200,931.76,911.38,1062.32,1240.53,1281.86,114.45,0.62,2.09,49.67
attacks_sig_fuzz_hmac,200,767.78,752.10,874.60,921.61,923.25,2.26,5.48,0.10,4.20
attacks_sig_fuzz_hybrid,200,970.27,950.85,1110.01,1260.37,1934.31,103.73,22.61,2.21,67.58
attacks_sig_fuzz_pqc,200,942.68,926.82,1062.48,1197.21,1239.18,101.15,14.21,2.06,68.24
attacks_tamper_auth_hmac,200,759.64,744.04,849.12,899.75,903.85,2.20,5.90,0.10,4.42
attacks_tamper_auth_hybrid,200,940.18,919.91,1071.69,1170.63,1198.57,109.14,30.22,2.13,55.69
attacks_tamper_auth_pqc,200,969.32,940.64,1109.50,1313.86,1976.83,102.42,28.58,2.03,60.07
attacks_tamper_payload_hmac,200,766.04,751.83,848.12,903.42,939.84,2.25,5.50,0.10,4.45
attacks_tamper_payload_hybrid,200,924.17,903.74,1057.39,1143.64,1145.86,100.63,17.27,2.24,58.08
attacks_tamper_payload_pqc,200,955.25,934.85,1098.41,1166.31,1170.49,97.43,30.09,2.06,60.07
attacks_timing_probe_hmac,200,758.53,741.59,845.67,909.68,935.73,7.63,5.15,0.09,3.97
attacks_timing_probe_hybrid,200,982.28,963.07,1133.73,1338.94,1858.22,102.95,45.78,2.11,62.56
attacks_timing_probe_pqc,200,958.92,933.84,1129.10,1281.93,1339.33,106.39,33.37,2.38,62.96
baseline_hmac_r1,2800,775.24,759.57,893.25,963.85,1432.32,2.83,7.09,0.14,4.98
baseline_hybrid_r1,2800,1065.52,972.22,1985.58,2149.82,2304.16,106.98,43.18,4.56,26.75
baseline_pqc_r1,2800,1090.93,984.35,2022.61,2162.74,2334.76,111.93,38.98,4.60,28.15
bus_failure_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_clean,200,768.69,746.84,876.87,908.62,925.43,7.99,6.62,0.09,3.40
bus_failure_heavy,195,760.51,746.80,848.89,931.45,951.54,2.14,5.32,0.09,3.01
bus_failure_noisy,200,786.51,758.40,888.00,935.45,1038.18,2.20,7.53,0.09,4.18
deadline_relaxed,200,729.77,705.81,842.65,880.77,888.74,2.41,8.29,0.10,4.78
deadline_tight,200,50172.85,50156.42,50228.32,50318.90,50396.59,21.43,0.00,16.27,0.00
flexray_hmac_r1,600,742.55,729.27,834.84,877.67,928.68,6.07,5.32,3.43,2.22
flexray_hybrid_r1,600,911.62,878.25,1075.41,1262.48,1985.91,111.39,38.72,4.77,16.55
flexray_pqc_r1,600,912.19,885.40,1058.54,1179.14,1872.62,106.41,35.62,5.19,16.79
freshness_overflow_hmac_r1,0,0.00,0.00,0.00,0.00,0.00,122.66,0.72,0.09,1.85
freshness_overflow_pqc_r1,0,0.00,0.00,0.00,0.00,0.00,91.07,3.75,3.43,80.18
keymismatch_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
