scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
attacks_aggregate_hmac,1400,756.52,747.01,840.93,894.83,953.38,3.64,3.89,0.09,0.00
attacks_aggregate_hybrid,1400,945.70,917.18,1106.41,1429.19,2071.12,106.60,11.40,2.16,0.00
attacks_aggregate_pqc,1400,941.87,911.52,1094.07,1422.88,2053.57,102.85,16.73,2.11,0.00
attacks_dos_flood_hmac,200,762.40,747.74,849.86,926.12,940.64,8.46,5.20,0.10,3.79
attacks_dos_flood_hybrid,200,1060.93,1011.27,1317.43,2031.77,2054.62,112.69,47.57,2.08,71.58
attacks_dos_flood_pqc,200,1003.34,954.06,1184.17,2018.20,2044.92,109.87,33.46,2.20,63.78
attacks_downgrade_hmac_hmac,200,745.36,745.34,775.14,823.08,857.88,2.28,4.12,0.10,2.97
attacks_downgrade_hmac_hybrid,200,955.55,912.49,1157.00,1939.66,1972.52,110.75,5.38,2.20,57.21
attacks_downgrade_hmac_pqc,200,941.51,924.57,1080.69,1193.49,1277.48,102.68,32.94,2.09,56.77
attacks_freshness_rollback_hmac,200,753.54,745.67,823.59,890.53,931.37,4.44,0.00,0.09,3.44
attacks_freshness_rollback_hybrid,200,979.01,966.73,1161.63,1203.01,1220.12,124.55,0.00,2.33,66.19
attacks_freshness_rollback_pqc,200,908.66,886.68,1091.96,1206.36,1266.84,103.48,0.00,2.04,56.88
attacks_harvest_now_hmac,200,755.46,742.85,827.87,926.09,929.65,7.34,4.92,0.12,3.99
attacks_harvest_now_hybrid,200,1010.47,998.48,1196.88,1299.88,1319.83,117.11,44.33,2.35,74.00
attacks_harvest_now_pqc,200,966.61,940.98,1105.11,1878.78,1931.36,97.43,33.53,2.04,61.52
attacks_mitm_key_confuse_hmac,200,762.08,741.93,859.04,906.48,914.01,2.32,6.16,0.10,4.74
attacks_mitm_key_confuse_hybrid,200,982.63,960.38,1171.97,1381.17,2027.66,116.63,7.09,2.15,90.42
attacks_mitm_key_confuse_pqc,200,975.62,939.62,1140.14,1986.74,2045.85,103.50,14.15,2.04,84.83
attacks_replay_hmac,200,752.35,735.14,829.14,907.09,946.32,10.63,0.07,0.10,3.67
attacks_replay_hybrid,200,914.60,894.39,1056.68,1199.49,1334.19,110.19,0.54,2.07,43.96
attacks_replay_pqc,200,911.19,889.15,1068.75,1121.97,1150.85,97.55,0.56,2.05,39.26
attacks_sig_fuzz_hmac,200,761.43,749.91,855.95,903.21,923.70,2.21,4.69,0.10,3.82
attacks_sig_fuzz_hybrid,200,951.97,912.20,1097.29,1950.72,1969.72,92.82,20.05,2.17,64.23
attacks_sig_fuzz_pqc,200,945.01,918.14,1108.14,1415.79,1908.84,104.17,15.14,2.03,63.81
attacks_tamper_auth_hmac,200,765.76,750.52,884.28,936.36,956.83,2.20,4.94,0.10,3.39
attacks_tamper_auth_hybrid,200,984.10,951.00,1171.92,1979.23,2021.80,108.33,30.28,2.08,63.33
attacks_tamper_auth_pqc,200,950.52,923.18,1098.33,1225.17,1237.44,103.42,26.50,2.08,56.64
attacks_tamper_payload_hmac,200,753.82,736.68,846.88,910.66,1008.03,2.17,5.33,0.10,3.68
attacks_tamper_payload_hybrid,200,932.47,915.75,1068.97,1148.61,1167.54,106.30,16.48,2.14,59.21
attacks_tamper_payload_pqc,200,947.40,925.99,1069.30,1146.71,1937.53,102.62,28.62,2.08,57.11
attacks_timing_probe_hmac,200,753.72,743.33,799.25,912.79,983.21,7.63,4.51,0.10,2.96
attacks_timing_probe_hybrid,200,975.27,943.88,1114.13,1961.81,1992.55,94.88,38.64,2.26,66.50
attacks_timing_probe_pqc,200,970.10,927.41,1138.52,1933.90,2011.29,108.13,34.10,2.47,60.59
baseline_hmac_r1,2800,760.55,756.35,858.47,920.84,1017.28,2.70,5.77,0.13,4.36
baseline_hybrid_r1,2800,1015.41,942.59,1891.12,2071.65,2216.37,105.61,40.36,4.44,24.93
baseline_pqc_r1,2800,1015.94,941.11,1905.52,2068.87,2194.58,100.98,34.53,4.40,24.32
bus_failure_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_clean,200,759.54,746.68,816.26,866.56,900.90,8.05,4.81,0.10,2.77
bus_failure_heavy,195,752.72,746.97,808.19,876.14,889.78,2.15,4.70,0.10,2.55
bus_failure_noisy,200,761.57,743.54,853.95,907.28,909.49,2.08,6.09,0.09,3.17
deadline_relaxed,200,706.88,686.22,809.99,857.97,862.52,2.34,6.37,0.09,3.42
deadline_tight,200,50170.81,50152.68,50226.46,50319.55,50630.30,22.65,0.00,17.07,0.00
keymismatch_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
keymismatch_mismatch,0,0.00,0.00,0.00,0.00,0.00,2.29,8.89,0.10,5.01
keymismatch_shared,200,753.47,738.45,827.27,866.84,917.77,8.73,5.35,0.10,2.83
mixed_bus_can,200,941.31,917.68,1067.15,1202.77,1323.95,99.22,33.71,2.04,42.70
mixed_bus_eth,200,1720.72,1693.94,1926.70,2074.92,2105.84,120.36,33.25,2.27,38.73
multi_ecu_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,200,766.16,745.03,856.88,921.83,931.46,0.00,5.79,0.00,0.00
