scenario,D1_miss_pct,D2_miss_pct,D3_miss_pct,D4_miss_pct,D5_miss_pct,D6_miss_pct
attacks_aggregate_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_aggregate_hybrid,0.00,0.00,0.00,0.00,0.00,0.00
attacks_aggregate_pqc,0.00,0.00,0.00,0.00,0.00,0.00
attacks_downgrade_hmac_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_downgrade_hmac_hybrid,0.00,0.00,0.00,0.00,0.00,0.00
attacks_downgrade_hmac_pqc,0.00,0.00,0.00,0.00,0.00,0.00
attacks_freshness_rollback_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_freshness_rollback_hybrid,0.00,0.00,0.00,0.00,0.00,0.00
attacks_freshness_rollback_pqc,0.00,0.00,0.00,0.00,0.00,0.00
attacks_mitm_key_confuse_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_mitm_key_confuse_hybrid,0.00,0.00,0.00,0.00,0.00,0.00
attacks_mitm_key_confuse_pqc,0.00,0.00,0.00,0.00,0.00,0.00
attacks_replay_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_replay_hybrid,0.00,0.00,0.00,0.00,0.00,0.00
attacks_replay_pqc,0.00,0.00,0.00,0.00,0.00,0.00
attacks_sig_fuzz_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_sig_fuzz_hybrid,0.00,0.00,0.00,0.00,0.00,0.00
attacks_sig_fuzz_pqc,0.00,0.00,0.00,0.00,0.00,0.00
attacks_tamper_auth_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_tamper_auth_hybrid,0.00,0.00,0.00,0.00,0.00,0.00
attacks_tamper_auth_pqc,0.00,0.00,0.00,0.00,0.00,0.00
attacks_tamper_payload_hmac,0.00,0.00,0.00,0.00,0.00,0.00
attacks_tamper_payload_hybrid,0.00,0.00,0.00,0.00,0.00,0.00
attacks_tamper_payload_pqc,0.00,0.00,0.00,0.00,0.00,0.00
baseline_hmac_r1,0.00,0.00,0.00,0.00,0.00,0.00
baseline_hybrid_r1,0.00,0.00,0.00,0.00,0.00,0.00
baseline_pqc_r1,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_aggregate,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_clean,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_heavy,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_noisy,0.00,0.00,0.00,0.00,0.00,0.00
deadline_relaxed,0.00,0.00,0.00,0.00,0.00,0.00
deadline_tight,100.00,0.00,0.00,0.00,0.00,0.00
keymismatch_aggregate,0.00,0.00,0.00,0.00,0.00,0.00
keymismatch_mismatch,0.00,0.00,0.00,0.00,0.00,0.00
keymismatch_shared,0.00,0.00,0.00,0.00,0.00,0.00
mixed_bus_can,0.00,0.00,0.00,0.00,0.00,0.00
mixed_bus_eth,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_aggregate,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx1,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx2,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_tx,0.00,0.00,0.00,0.00,0.00,0.00
persistence_aggregate,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,0.00,0.00,0.00,0.00,0.00,0.00
persistence_with_nvm,0.00,0.00,0.00,0.00,0.00,0.00
rekey_r1,0.00,0.00,0.00,0.00,0.00,0.00
rollover_hmac_r1,0.00,0.00,0.00,0.00,0.00,0.00
rollover_pqc_r1,0.00,0.00,0.00,0.00,0.00,0.00
tput_hmac_canfd_r1,0.00,0.00,0.00,0.00,0.00,0.00
tput_pqc_eth1000_r1,0.00,0.00,0.00,0.00,0.00,0.00
tput_pqc_eth100_r1,0.00,0.00,0.00,0.00,0.00,0.00
