scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
attacks_aggregate_hmac,350,2118.40,2341.43,2482.26,2579.27,2704.25,11.04,9.16,0.13,0.00
attacks_aggregate_hybrid,350,1838.35,2143.09,2311.53,2620.36,3473.01,161.21,22.58,2.17,0.00
attacks_aggregate_pqc,350,1763.06,1617.85,2312.82,3194.08,3336.16,139.27,20.96,2.06,0.00
attacks_downgrade_hmac_hmac,50,2144.49,2359.76,2494.70,2543.30,2543.30,2.86,14.60,0.10,13.36
attacks_downgrade_hmac_hybrid,50,1955.71,2168.61,2273.36,2292.67,2292.67,172.42,16.42,2.05,276.44
attacks_downgrade_hmac_pqc,50,1834.91,2156.26,2289.09,2340.63,2340.63,144.06,38.89,2.14,256.66
attacks_freshness_rollback_hmac,50,2040.83,2304.84,2426.66,2474.02,2474.02,12.13,0.00,0.09,14.12
attacks_freshness_rollback_hybrid,50,1901.49,2190.80,2306.52,2620.36,2620.36,165.10,0.00,2.50,275.45
attacks_freshness_rollback_pqc,50,1864.46,2139.62,2316.00,2405.85,2405.85,158.28,0.00,2.12,288.50
attacks_mitm_key_confuse_hmac,50,2089.12,2343.47,2461.27,2540.24,2540.24,2.29,13.62,0.10,13.06
attacks_mitm_key_confuse_hybrid,50,1878.54,2156.39,2314.21,2441.60,2441.60,181.19,15.07,2.03,297.53
attacks_mitm_key_confuse_pqc,50,1752.64,1988.34,2299.80,2324.29,2324.29,136.75,20.40,2.01,278.08
attacks_replay_hmac,50,2178.96,2332.54,2520.57,2667.79,2667.79,52.64,1.07,0.10,14.83
attacks_replay_hybrid,50,1652.92,1534.58,2285.20,2286.68,2286.68,195.15,3.95,2.10,200.69
attacks_replay_pqc,50,1614.25,1533.62,2269.83,2312.82,2312.82,141.23,2.33,1.99,182.80
attacks_sig_fuzz_hmac,50,2063.47,2365.71,2466.97,2545.58,2545.58,2.69,15.47,0.10,19.12
attacks_sig_fuzz_hybrid,50,1797.70,1995.55,2285.80,2301.46,2301.46,139.37,39.45,2.22,309.31
attacks_sig_fuzz_pqc,50,1697.50,1573.42,2260.89,2271.22,2271.22,126.39,20.59,2.01,261.84
attacks_tamper_auth_hmac,50,2099.59,2319.52,2402.78,2458.95,2458.95,2.27,9.68,0.10,11.86
attacks_tamper_auth_hybrid,50,1765.64,1688.54,2285.16,2313.27,2313.27,141.90,48.08,2.05,274.60
attacks_tamper_auth_pqc,50,1887.64,2060.86,2582.71,3308.05,3308.05,135.08,30.57,2.20,239.21
attacks_tamper_payload_hmac,50,2212.37,2334.88,2432.17,2470.07,2470.07,2.38,9.69,0.30,8.96
attacks_tamper_payload_hybrid,50,1916.47,2177.03,2346.48,2361.59,2361.59,133.35,35.10,2.22,263.99
attacks_tamper_payload_pqc,50,1690.00,1565.89,2287.69,2311.43,2311.43,133.08,33.97,1.99,240.64
baseline_hmac_r1,700,1902.17,2308.75,2487.74,2551.06,2677.55,5.03,12.86,0.13,13.90
baseline_hybrid_r1,700,2057.86,2214.34,3312.75,3443.18,3687.80,156.63,55.24,4.29,84.66
baseline_pqc_r1,700,2044.57,2222.76,3297.99,3468.51,3782.32,147.80,40.92,4.38,83.96
bus_failure_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_clean,100,2106.24,2356.20,2476.91,2593.16,2593.16,19.57,16.18,0.10,13.08
bus_failure_heavy,100,2048.49,2324.55,2457.91,2480.35,2480.35,2.27,10.96,0.09,10.09
bus_failure_noisy,100,2123.53,2344.43,2460.77,2516.33,2516.33,2.35,13.56,0.09,11.00
deadline_relaxed,50,1260.89,1233.98,1308.79,1346.86,1346.86,3.03,15.38,0.11,12.97
deadline_tight,50,50897.02,50888.06,51272.02,51429.06,51429.06,69.91,0.00,185.28,0.00
keymismatch_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
keymismatch_mismatch,0,0.00,0.00,0.00,0.00,0.00,2.16,17.50,0.15,16.35
keymismatch_shared,50,2138.76,2371.64,2480.62,2582.22,2582.22,41.91,17.26,0.72,14.47
mixed_bus_can,50,1716.02,1520.89,2596.73,3280.70,3280.70,155.47,41.17,2.11,181.63
mixed_bus_eth,50,2915.67,2676.79,4410.94,4516.90,4516.90,232.14,40.07,2.45,176.52
multi_ecu_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,50,2098.29,2331.98,2410.03,2459.63,2459.63,0.00,16.44,0.00,0.00
multi_ecu_rx1,50,2102.55,2362.71,2455.19,2477.26,2477.26,0.00,16.51,0.00,0.00
multi_ecu_rx2,50,2177.94,2343.88,2474.36,2480.99,2480.99,0.00,16.14,0.00,0.00
multi_ecu_tx,0,0.00,0.00,0.00,0.00,0.00,16.31,0.00,0.11,14.46
persistence_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,50,2201.55,2315.01,2432.16,2452.05,2452.05,17.53,13.80,0.11,9.78
persistence_with_nvm,50,2104.36,2362.83,2467.18,2487.42,2487.42,5.14,13.37,0.11,14.11
rekey_r1,50,50.60,46.62,65.00,66.75,66.75,23.14,15.38,11.76,0.00
rollover_hmac_r1,0,0.00,0.00,0.00,0.00,0.00,63.30,12.85,0.11,13.82
rollover_pqc_r1,0,0.00,0.00,0.00,0.00,0.00,145.97,31.87,1.98,183.45
tput_hmac_canfd_r1,940,2129.38,2347.08,2503.09,2619.26,3583.31,4.47,14.98,0.11,13.80
tput_pqc_eth1000_r1,1429,1399.68,1406.94,1621.06,2367.36,3376.32,155.50,43.56,0.20,22.77
tput_pqc_eth100_r1,897,2230.70,2321.57,2627.10,2697.16,2830.99,156.40,44.48,0.21,24.72
