scenario,attacks_injected,attacks_detected,attacks_delivered,detection_rate_pct
attacks_aggregate_hmac,347,297,53,84.86
attacks_aggregate_hybrid,15957,347,3,99.14
attacks_aggregate_pqc,15657,347,3,99.14
attacks_downgrade_hmac_hmac,50,0,50,0.00
attacks_downgrade_hmac_hybrid,2650,50,0,100.00
attacks_downgrade_hmac_pqc,2600,50,0,100.00
attacks_freshness_rollback_hmac,50,50,0,100.00
attacks_freshness_rollback_hybrid,2650,50,0,100.00
attacks_freshness_rollback_pqc,2600,50,0,100.00
attacks_mitm_key_confuse_hmac,50,50,0,100.00
attacks_mitm_key_confuse_hybrid,2650,50,0,100.00
attacks_mitm_key_confuse_pqc,2600,50,0,100.00
attacks_replay_hmac,47,47,3,94.00
attacks_replay_hybrid,57,47,3,94.00
attacks_replay_pqc,57,47,3,94.00
attacks_sig_fuzz_hmac,50,50,0,100.00
attacks_sig_fuzz_hybrid,2650,50,0,100.00
attacks_sig_fuzz_pqc,2600,50,0,100.00
attacks_tamper_auth_hmac,50,50,0,100.00
attacks_tamper_auth_hybrid,2650,50,0,100.00
attacks_tamper_auth_pqc,2600,50,0,100.00
attacks_tamper_payload_hmac,50,50,0,100.00
attacks_tamper_payload_hybrid,2650,50,0,100.00
attacks_tamper_payload_pqc,2600,50,0,100.00
baseline_hmac_r1,0,0,0,0.00
baseline_hybrid_r1,0,0,0,0.00
baseline_pqc_r1,0,0,0,0.00
bus_failure_aggregate,0,0,0,0.00
bus_failure_clean,0,0,0,0.00
bus_failure_heavy,0,0,0,0.00
bus_failure_noisy,0,0,0,0.00
deadline_relaxed,0,0,0,0.00
deadline_tight,0,0,0,0.00
keymismatch_aggregate,50,50,0,100.00
keymismatch_mismatch,50,50,0,100.00
keymismatch_shared,0,0,0,0.00
mixed_bus_can,0,0,0,0.00
mixed_bus_eth,0,0,0,0.00
multi_ecu_aggregate,0,0,0,0.00
multi_ecu_rx0,0,0,0,0.00
multi_ecu_rx1,0,0,0,0.00
multi_ecu_rx2,0,0,0,0.00
multi_ecu_tx,0,0,0,0.00
persistence_aggregate,50,25,25,50.00
persistence_no_nvm,25,0,25,0.00
persistence_with_nvm,25,25,0,100.00
rekey_r1,0,0,0,0.00
rollover_hmac_r1,8,8,0,100.00
rollover_pqc_r1,8,8,0,100.00
tput_hmac_canfd_r1,0,0,0,0.00
tput_pqc_eth1000_r1,0,0,0,0.00
tput_pqc_eth100_r1,0,0,0,0.00
