scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
attacks_aggregate_hmac,700,2134.84,2277.90,2360.88,2474.41,3878.18,5.45,6.68,0.10,0.00
attacks_aggregate_pqc,700,1924.69,2153.23,2588.47,3261.16,3343.47,132.72,23.58,2.30,0.00
attacks_downgrade_hmac_hmac,100,2054.58,2272.75,2343.80,2398.21,2398.21,2.37,7.54,0.10,7.83
attacks_downgrade_hmac_pqc,100,1975.48,2168.78,2568.03,3203.82,3203.82,127.58,37.46,2.39,179.34
attacks_freshness_rollback_hmac,100,2181.85,2273.54,2357.73,2439.23,2439.23,7.88,0.00,0.10,9.15
attacks_freshness_rollback_pqc,100,1945.09,2176.50,2587.59,3199.32,3199.32,128.85,0.00,2.31,180.55
attacks_mitm_key_confuse_hmac,100,2189.33,2275.42,2333.52,2381.79,2381.79,2.09,6.60,0.10,7.58
attacks_mitm_key_confuse_pqc,100,1916.38,2166.19,2585.47,2654.36,2654.36,139.74,16.68,2.27,201.68
attacks_replay_hmac,100,2120.09,2272.65,2374.72,3611.84,3611.84,18.84,6.19,0.10,6.84
attacks_replay_pqc,100,1791.68,1554.28,2611.28,3288.77,3288.77,130.73,35.27,2.30,130.71
attacks_sig_fuzz_hmac,100,2161.67,2289.60,2370.91,2474.27,2474.27,2.30,8.94,0.10,9.43
attacks_sig_fuzz_pqc,100,1948.75,2134.75,2649.39,3321.76,3321.76,128.99,15.77,2.27,177.16
attacks_tamper_auth_hmac,100,2166.61,2284.17,2360.88,2474.41,2474.41,2.30,8.75,0.11,9.95
attacks_tamper_auth_pqc,100,1923.86,2134.77,2561.60,3254.78,3254.78,136.70,28.88,2.29,181.87
attacks_tamper_payload_hmac,100,2069.73,2278.88,2366.60,2407.57,2407.57,2.35,8.71,0.11,9.34
attacks_tamper_payload_pqc,100,1971.56,2166.06,2586.65,2799.56,2799.56,136.47,30.99,2.28,176.95
baseline_hmac_r1,1400,1965.87,2257.06,2334.66,2397.51,2537.67,3.41,5.58,0.14,7.85
baseline_hybrid_r1,1400,2284.17,2395.18,3305.11,3378.71,3467.78,135.61,40.93,4.83,47.55
baseline_pqc_r1,1400,2205.91,2371.88,3285.18,3354.82,3422.21,130.79,34.98,4.82,48.50
mixed_bus_can,100,1796.60,1544.91,2579.45,2659.91,2659.91,127.39,36.53,2.28,119.82
mixed_bus_eth,100,2892.86,2628.61,3671.26,4254.74,4254.74,135.17,34.58,2.29,124.52
rekey_r1,100,54.23,49.06,70.17,129.60,129.60,24.32,16.80,12.73,0.00
tput_hmac_canfd_r1,928,2155.96,2274.36,2360.42,2437.93,2511.06,3.88,5.83,0.10,5.68
tput_pqc_eth1000_r1,1513,1322.43,1315.45,1471.45,2190.72,2428.20,129.47,37.43,0.20,13.08
tput_pqc_eth100_r1,868,2303.95,2398.60,2510.23,2549.00,2646.49,130.12,37.22,0.20,15.17
