scenario,samples,csm_sign_mean_us,csm_sign_p99_us,cantp_frag_mean_us,cantp_frag_p99_us,bus_transit_mean_us,bus_transit_p99_us,csm_verify_mean_us,csm_verify_p99_us,com_pdur_secoc_mean_us,e2e_mean_us,e2e_p99_us
attacks_aggregate_hmac,700,5.45,13.52,0.10,0.16,0.00,0.00,6.68,23.61,2122.61,2134.84,2474.41
attacks_aggregate_pqc,700,132.72,357.24,2.30,2.66,0.00,0.00,23.58,54.63,1766.08,1924.69,3261.16
attacks_downgrade_hmac_hmac,100,2.37,11.48,0.10,0.14,7.83,21.79,7.54,21.59,2036.74,2054.58,2398.21
attacks_downgrade_hmac_pqc,100,127.58,365.98,2.39,2.71,179.34,410.18,37.46,57.27,1628.71,1975.48,3203.82
attacks_freshness_rollback_hmac,100,7.88,21.49,0.10,0.14,9.15,83.31,0.00,0.00,2164.72,2181.85,2439.23
attacks_freshness_rollback_pqc,100,128.85,293.54,2.31,2.70,180.55,366.46,0.00,0.00,1633.39,1945.09,3199.32
attacks_mitm_key_confuse_hmac,100,2.09,4.78,0.10,0.13,7.58,14.43,6.60,14.93,2172.97,2189.33,2381.79
attacks_mitm_key_confuse_pqc,100,139.74,349.24,2.27,2.53,201.68,404.27,16.68,25.20,1556.00,1916.38,2654.36
attacks_replay_hmac,100,18.84,4.29,0.10,0.16,6.84,14.88,6.19,16.61,2088.11,2120.09,3611.84
attacks_replay_pqc,100,130.73,288.21,2.30,2.64,130.71,296.80,35.27,58.57,1492.68,1791.68,3288.77
attacks_sig_fuzz_hmac,100,2.30,10.79,0.10,0.16,9.43,24.70,8.94,24.90,2140.90,2161.67,2474.27
attacks_sig_fuzz_pqc,100,128.99,308.61,2.27,2.64,177.16,365.34,15.77,25.23,1624.55,1948.75,3321.76
attacks_tamper_auth_hmac,100,2.30,4.66,0.11,0.18,9.95,33.12,8.75,21.22,2145.51,2166.61,2474.41
attacks_tamper_auth_pqc,100,136.70,301.98,2.29,2.54,181.87,399.34,28.88,50.99,1574.11,1923.86,3254.78
attacks_tamper_payload_hmac,100,2.35,6.32,0.11,0.25,9.34,23.79,8.71,24.57,2049.22,2069.73,2407.57
attacks_tamper_payload_pqc,100,136.47,419.42,2.28,2.66,176.95,407.75,30.99,50.12,1624.87,1971.56,2799.56
baseline_hmac_r1,1400,3.41,12.63,0.14,0.34,7.85,27.65,5.58,17.17,1948.88,1965.87,2397.51
baseline_hybrid_r1,1400,135.61,372.26,4.83,19.75,47.55,489.62,40.93,70.37,2055.25,2284.17,3378.71
baseline_pqc_r1,1400,130.79,347.02,4.82,20.27,48.50,494.56,34.98,58.67,1986.83,2205.91,3354.82
mixed_bus_can,100,127.39,432.22,2.28,2.73,119.82,244.74,36.53,59.44,1510.58,1796.60,2659.91
mixed_bus_eth,100,135.17,286.21,2.29,2.69,124.52,251.51,34.58,50.36,2596.30,2892.86,4254.74
rekey_r1,100,24.32,63.32,12.73,20.45,0.00,0.00,16.80,51.91,0.37,54.23,129.60
tput_hmac_canfd_r1,928,3.88,12.34,0.10,0.15,5.68,18.88,5.83,15.68,2140.48,2155.96,2437.93
tput_pqc_eth1000_r1,1513,129.47,343.52,0.20,0.29,13.08,105.96,37.43,64.10,1142.25,1322.43,2190.72
tput_pqc_eth100_r1,868,130.12,364.07,0.20,0.29,15.17,120.91,37.22,59.09,2121.24,2303.95,2549.00
