scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
attacks_aggregate_hmac,350,2164.79,2285.93,2361.83,2439.36,2691.44,12.12,9.91,0.09,0.00
attacks_aggregate_hybrid,350,1991.69,2177.94,2621.55,3330.29,3346.40,184.31,34.01,2.26,0.00
attacks_aggregate_pqc,350,1980.55,2174.54,2441.52,3252.70,3291.39,171.72,50.92,2.37,0.00
attacks_downgrade_hmac_hmac,50,2261.14,2298.65,2371.73,2391.23,2391.23,5.05,13.26,0.09,9.01
attacks_downgrade_hmac_hybrid,50,1813.06,2160.14,2231.92,2287.68,2287.68,182.88,11.18,2.44,273.70
attacks_downgrade_hmac_pqc,50,2075.03,2181.55,2253.09,3268.84,3268.84,176.54,76.75,2.14,265.29
attacks_freshness_rollback_hmac,50,2053.90,2265.31,2351.43,2439.36,2439.36,11.50,0.00,0.10,12.43
attacks_freshness_rollback_hybrid,50,2132.23,2180.02,3293.93,3337.47,3337.47,201.83,0.00,2.23,286.11
attacks_freshness_rollback_pqc,50,1989.81,2167.27,2274.35,3190.07,3190.07,184.21,0.00,2.60,258.62
attacks_mitm_key_confuse_hmac,50,1969.32,2295.32,2355.53,2362.14,2362.14,4.47,11.53,0.09,10.58
attacks_mitm_key_confuse_hybrid,50,2066.31,2185.89,2232.97,2524.75,2524.75,177.73,12.06,2.22,301.91
attacks_mitm_key_confuse_pqc,50,2030.72,2180.89,2230.89,3252.70,3252.70,162.38,39.51,2.17,286.79
attacks_replay_hmac,50,2273.49,2303.95,2369.82,2545.54,2545.54,48.82,10.56,0.08,10.24
attacks_replay_hybrid,50,1933.43,2133.96,2649.22,3342.07,3342.07,185.06,65.25,2.29,233.91
attacks_replay_pqc,50,1971.94,2180.21,2612.48,3221.74,3221.74,156.71,70.99,2.64,199.21
attacks_sig_fuzz_hmac,50,2144.99,2279.57,2329.63,2343.82,2343.82,4.73,10.30,0.08,10.54
attacks_sig_fuzz_hybrid,50,1924.03,2156.73,2621.55,3209.68,3209.68,176.89,48.49,2.25,285.19
attacks_sig_fuzz_pqc,50,1868.41,2156.86,2280.82,2441.52,2441.52,173.85,38.39,2.17,274.30
attacks_tamper_auth_hmac,50,2205.59,2272.24,2328.59,2345.72,2345.72,4.99,11.55,0.08,11.14
attacks_tamper_auth_hybrid,50,1950.94,2175.59,2231.60,2317.55,2317.55,173.41,62.89,2.16,264.89
attacks_tamper_auth_pqc,50,2001.98,2168.85,2349.35,2550.22,2550.22,165.38,57.66,2.20,271.83
attacks_tamper_payload_hmac,50,2245.08,2282.70,2361.83,2379.86,2379.86,5.24,12.15,0.09,10.32
attacks_tamper_payload_hybrid,50,2121.83,2190.95,2922.64,3220.78,3220.78,192.34,38.23,2.23,275.69
attacks_tamper_payload_pqc,50,1925.96,2132.41,2661.46,3224.49,3224.49,183.00,73.13,2.66,281.65
baseline_hmac_r1,700,1851.30,2271.29,2375.98,2423.33,2664.27,8.71,12.26,0.12,11.67
baseline_hybrid_r1,700,2043.72,2188.28,3268.73,3360.64,3506.40,171.38,80.52,4.72,100.18
baseline_pqc_r1,700,2108.25,2195.07,3271.53,3329.67,3534.11,171.86,74.16,4.79,93.48
bus_failure_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_clean,100,2061.77,2275.76,2364.98,2455.39,2455.39,24.72,12.14,0.09,8.83
bus_failure_heavy,100,2157.90,2267.55,2322.98,2341.79,2341.79,5.35,11.44,0.09,8.63
bus_failure_noisy,100,2178.63,2273.43,2342.45,2373.68,2373.68,4.95,11.85,0.09,9.25
deadline_relaxed,50,1157.38,1163.73,1199.20,1204.03,1204.03,4.93,7.66,0.07,5.99
deadline_tight,50,50839.56,50794.75,51209.48,51245.99,51245.99,75.48,0.00,114.19,0.00
keymismatch_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
keymismatch_mismatch,0,0.00,0.00,0.00,0.00,0.00,5.17,11.75,0.09,10.04
keymismatch_shared,50,2047.09,2286.13,2362.21,2368.52,2368.52,45.40,11.90,0.09,9.05
mixed_bus_can,50,1962.02,2173.33,2578.23,2621.88,2621.88,150.54,74.39,2.15,182.55
mixed_bus_eth,50,3105.38,3269.00,3689.93,4379.63,4379.63,255.05,71.48,2.15,183.21
multi_ecu_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,50,2198.25,2291.13,2353.83,2415.88,2415.88,0.00,12.16,0.00,0.00
multi_ecu_rx1,50,2217.90,2292.24,2349.03,2410.91,2410.91,0.00,11.42,0.00,0.00
multi_ecu_rx2,50,2262.24,2303.70,2349.58,2384.15,2384.15,0.00,11.66,0.00,0.00
multi_ecu_tx,0,0.00,0.00,0.00,0.00,0.00,19.50,0.00,0.09,8.20
persistence_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,50,2257.32,2292.79,2342.79,2399.96,2399.96,21.99,11.59,0.08,8.15
persistence_with_nvm,50,1852.90,2264.97,2370.31,2389.48,2389.48,5.94,9.40,0.09,9.20
rekey_r1,50,75.70,70.11,96.10,106.89,106.89,28.25,28.21,18.84,0.00
rollover_hmac_r1,0,0.00,0.00,0.00,0.00,0.00,68.77,8.45,0.09,8.19
rollover_pqc_r1,0,0.00,0.00,0.00,0.00,0.00,188.74,55.13,2.21,205.51
tput_hmac_canfd_r1,932,2145.98,2276.13,2339.03,2410.50,3096.52,6.93,11.28,0.09,9.27
tput_pqc_eth1000_r1,1455,1374.52,1377.21,1658.45,2254.67,3329.07,168.89,77.80,0.19,18.80
tput_pqc_eth100_r1,883,2265.73,2255.52,2530.77,2583.68,2721.59,172.45,79.76,0.21,20.44
