scenario,samples,csm_sign_mean_us,csm_sign_p99_us,cantp_frag_mean_us,cantp_frag_p99_us,bus_transit_mean_us,bus_transit_p99_us,csm_verify_mean_us,csm_verify_p99_us,com_pdur_secoc_mean_us,e2e_mean_us,e2e_p99_us
attacks_aggregate_hmac,350,12.12,15.59,0.09,0.13,0.00,0.00,9.91,23.36,2142.68,2164.79,2439.36
attacks_aggregate_hybrid,350,184.31,510.49,2.26,2.87,0.00,0.00,34.01,101.60,1771.11,1991.69,3330.29
attacks_aggregate_pqc,350,171.72,495.47,2.37,8.74,0.00,0.00,50.92,103.74,1755.54,1980.55,3252.70
attacks_downgrade_hmac_hmac,50,5.05,7.92,0.09,0.12,9.01,13.78,13.26,28.36,2233.73,2261.14,2391.23
attacks_downgrade_hmac_hybrid,50,182.88,387.35,2.44,2.88,273.70,460.38,11.18,14.36,1342.86,1813.06,2287.68
attacks_downgrade_hmac_pqc,50,176.54,403.12,2.14,2.39,265.29,429.80,76.75,103.74,1554.31,2075.03,3268.84
attacks_freshness_rollback_hmac,50,11.50,16.15,0.10,0.13,12.43,18.42,0.00,0.00,2029.87,2053.90,2439.36
attacks_freshness_rollback_hybrid,50,201.83,500.23,2.23,2.69,286.11,462.83,0.00,0.00,1642.06,2132.23,3337.47
attacks_freshness_rollback_pqc,50,184.21,385.36,2.60,9.70,258.62,405.75,0.00,0.00,1544.38,1989.81,3190.07
attacks_mitm_key_confuse_hmac,50,4.47,7.21,0.09,0.14,10.58,20.17,11.53,22.10,1942.66,1969.32,2362.14
attacks_mitm_key_confuse_hybrid,50,177.73,415.64,2.22,2.65,301.91,432.40,12.06,15.62,1572.39,2066.31,2524.75
attacks_mitm_key_confuse_pqc,50,162.38,334.87,2.17,2.66,286.79,438.18,39.51,56.15,1539.88,2030.72,3252.70
attacks_replay_hmac,50,48.82,15.59,0.08,0.11,10.24,16.33,10.56,19.12,2203.79,2273.49,2545.54
attacks_replay_hybrid,50,185.06,321.40,2.29,2.85,233.91,557.31,65.25,112.14,1446.92,1933.43,3342.07
attacks_replay_pqc,50,156.71,483.32,2.64,2.63,199.21,327.88,70.99,93.33,1542.39,1971.94,3221.74
attacks_sig_fuzz_hmac,50,4.73,7.17,0.08,0.10,10.54,16.94,10.30,13.72,2119.33,2144.99,2343.82
attacks_sig_fuzz_hybrid,50,176.89,345.33,2.25,2.66,285.19,449.24,48.49,76.48,1411.21,1924.03,3209.68
attacks_sig_fuzz_pqc,50,173.85,361.95,2.17,2.55,274.30,498.15,38.39,53.09,1379.69,1868.41,2441.52
attacks_tamper_auth_hmac,50,4.99,7.51,0.08,0.12,11.14,19.67,11.55,22.98,2177.84,2205.59,2345.72
attacks_tamper_auth_hybrid,50,173.41,451.06,2.16,2.51,264.89,501.04,62.89,85.90,1447.59,1950.94,2317.55
attacks_tamper_auth_pqc,50,165.38,385.37,2.20,2.79,271.83,399.80,57.66,78.03,1504.91,2001.98,2550.22
attacks_tamper_payload_hmac,50,5.24,13.45,0.09,0.12,10.32,19.79,12.15,22.67,2217.28,2245.08,2379.86
attacks_tamper_payload_hybrid,50,192.34,474.78,2.23,2.88,275.69,516.31,38.23,95.40,1613.34,2121.83,3220.78
attacks_tamper_payload_pqc,50,183.00,499.96,2.66,8.74,281.65,503.17,73.13,104.50,1385.52,1925.96,3224.49
baseline_hmac_r1,700,8.71,17.66,0.12,0.29,11.67,35.65,12.26,29.79,1818.54,1851.30,2423.33
baseline_hybrid_r1,700,171.38,427.01,4.72,19.64,100.18,1481.34,80.52,117.22,1686.92,2043.72,3360.64
baseline_pqc_r1,700,171.86,507.30,4.79,23.45,93.48,1390.31,74.16,112.45,1763.96,2108.25,3329.67
bus_failure_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
bus_failure_clean,100,24.72,8.53,0.09,0.14,8.83,18.70,12.14,38.33,2015.99,2061.77,2455.39
bus_failure_heavy,100,5.35,16.76,0.09,0.13,8.63,15.76,11.44,25.61,2132.39,2157.90,2341.79
bus_failure_noisy,100,4.95,9.69,0.09,0.15,9.25,21.70,11.85,19.30,2152.49,2178.63,2373.68
deadline_relaxed,50,4.93,7.50,0.07,0.11,5.99,10.78,7.66,13.90,1138.73,1157.38,1204.03
deadline_tight,50,75.48,65.20,114.19,156.71,0.00,0.00,0.00,0.00,50649.89,50839.56,51245.99
keymismatch_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
keymismatch_mismatch,0,5.17,14.84,0.09,0.13,10.04,33.13,11.75,27.22,0.00,0.00,0.00
keymismatch_shared,50,45.40,7.06,0.09,0.13,9.05,21.53,11.90,22.85,1980.64,2047.09,2368.52
mixed_bus_can,50,150.54,351.00,2.15,2.39,182.55,259.21,74.39,90.96,1552.38,1962.02,2621.88
mixed_bus_eth,50,255.05,509.27,2.15,2.51,183.21,273.11,71.48,84.84,2593.49,3105.38,4379.63
multi_ecu_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
multi_ecu_rx0,50,0.00,0.00,0.00,0.00,0.00,0.00,12.16,27.27,2186.08,2198.25,2415.88
multi_ecu_rx1,50,0.00,0.00,0.00,0.00,0.00,0.00,11.42,19.38,2206.48,2217.90,2410.91
multi_ecu_rx2,50,0.00,0.00,0.00,0.00,0.00,0.00,11.66,21.99,2250.58,2262.24,2384.15
multi_ecu_tx,0,19.50,8.71,0.09,0.13,8.20,13.26,0.00,0.00,0.00,0.00,0.00
persistence_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
persistence_no_nvm,50,21.99,9.63,0.08,0.12,8.15,13.15,11.59,26.96,2215.50,2257.32,2399.96
persistence_with_nvm,50,5.94,12.45,0.09,0.12,9.20,23.89,9.40,21.08,1828.28,1852.90,2389.48
rekey_r1,50,28.25,46.41,18.84,27.76,0.00,0.00,28.21,47.44,0.40,75.70,106.89
rollover_hmac_r1,0,68.77,14.41,0.09,0.13,8.19,11.78,8.45,17.42,0.00,0.00,0.00
rollover_pqc_r1,0,188.74,344.09,2.21,2.59,205.51,368.06,55.13,86.09,0.00,0.00,0.00
tput_hmac_canfd_r1,932,6.93,14.05,0.09,0.12,9.27,21.33,11.28,23.20,2118.41,2145.98,2410.50
tput_pqc_eth1000_r1,1455,168.89,466.01,0.19,0.26,18.80,97.05,77.80,112.92,1108.84,1374.52,2254.67
tput_pqc_eth100_r1,883,172.45,459.81,0.21,0.29,20.44,105.24,79.76,117.09,1992.87,2265.73,2583.68
