scenario,pdu_mean_bytes,pdu_p95_bytes,pdu_max_bytes,fragments_mean,fragments_max
attacks_aggregate,0.0,0,0,0.00,0
attacks_dos_flood,34.0,34,34,1.00,1
attacks_downgrade_hmac,34.0,34,34,1.00,1
attacks_freshness_rollback,34.0,34,34,1.00,1
attacks_harvest_now,34.0,34,34,1.00,1
attacks_mitm_key_confuse,34.0,34,34,1.00,1
attacks_replay,34.0,34,34,1.00,1
attacks_sig_fuzz,34.0,34,34,1.00,1
attacks_tamper_auth,34.0,34,34,1.00,1
attacks_tamper_payload,34.0,34,34,1.00,1
attacks_timing_probe,34.0,34,34,1.00,1
baseline_hmac_r1,173.1,1050,1050,1.79,5
baseline_hybrid_r1,3482.1,4359,4359,114.14,418
baseline_pqc_r1,3466.1,4343,4343,113.57,416
mixed_bus_can,3327.0,3327,3327,52.00,52
mixed_bus_eth,3327.0,3327,3327,3.00,3
rekey_r1,0.0,0,0,0.00,0
tput_hmac_canfd_r1,34.0,34,34,1.00,1
tput_pqc_eth1000_r1,4343.0,4343,4343,3.00,3
tput_pqc_eth100_r1,4343.0,4343,4343,3.00,3
