scenario,samples,e2e_mean_us,e2e_p50_us,e2e_p95_us,e2e_p99_us,e2e_p999_us,auth_mean_us,verify_mean_us,cantp_mean_us,bus_mean_us
attacks_aggregate,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
attacks_dos_flood,0,0.00,0.00,0.00,0.00,0.00,4.55,10.76,10.94,0.00
attacks_downgrade_hmac,0,0.00,0.00,0.00,0.00,0.00,4.65,11.15,10.44,0.00
attacks_freshness_rollback,0,0.00,0.00,0.00,0.00,0.00,11.41,0.00,10.62,0.00
attacks_harvest_now,0,0.00,0.00,0.00,0.00,0.00,4.90,11.20,10.89,0.00
attacks_mitm_key_confuse,0,0.00,0.00,0.00,0.00,0.00,4.88,11.69,9.86,0.00
attacks_replay,0,0.00,0.00,0.00,0.00,0.00,16.61,7.52,9.88,0.00
attacks_sig_fuzz,0,0.00,0.00,0.00,0.00,0.00,4.85,10.94,9.23,0.00
attacks_tamper_auth,0,0.00,0.00,0.00,0.00,0.00,4.87,11.33,10.51,0.00
attacks_tamper_payload,0,0.00,0.00,0.00,0.00,0.00,4.76,11.25,10.55,0.00
attacks_timing_probe,0,0.00,0.00,0.00,0.00,0.00,4.57,11.33,10.63,0.00
baseline_hmac_r1,2800,1948.97,2294.26,2404.07,2509.53,3435.50,6.80,12.74,13.10,0.00
baseline_hybrid_r1,2800,2149.89,2210.28,3291.54,3374.28,3798.37,178.67,83.32,50.94,0.00
baseline_pqc_r1,2800,2114.04,2213.75,3254.29,3355.07,3590.82,188.86,77.60,55.89,0.00
mixed_bus_can,0,0.00,0.00,0.00,0.00,0.00,185.71,75.93,127.41,0.00
mixed_bus_eth,0,0.00,0.00,0.00,0.00,0.00,167.15,0.00,22.45,0.00
rekey_r1,200,76.72,73.51,98.92,121.52,126.17,30.04,28.65,17.65,0.00
tput_hmac_canfd_r1,938,2133.82,2291.56,2361.82,2407.64,4087.17,7.23,12.01,10.39,0.00
tput_pqc_eth1000_r1,1432,1396.39,1392.49,1732.15,2344.32,3401.20,173.74,80.21,21.01,0.00
tput_pqc_eth100_r1,890,2249.08,2241.04,2532.90,2603.05,2741.24,171.77,78.71,23.10,0.00
