scenario,attacks_injected,attacks_detected,attacks_delivered,detection_rate_pct
attacks_aggregate,1462,662,1338,45.28
attacks_dos_flood,200,0,200,0.00
attacks_downgrade_hmac,200,0,200,0.00
attacks_freshness_rollback,200,200,0,100.00
attacks_harvest_now,200,0,200,0.00
attacks_mitm_key_confuse,0,0,200,0.00
attacks_replay,62,62,138,100.00
attacks_sig_fuzz,0,0,200,0.00
attacks_tamper_auth,200,200,0,100.00
attacks_tamper_payload,200,200,0,100.00
attacks_timing_probe,200,0,200,0.00
baseline_hmac_r1,0,0,0,0.00
baseline_hybrid_r1,0,0,0,0.00
baseline_pqc_r1,0,0,0,0.00
mixed_bus_can,0,0,0,0.00
mixed_bus_eth,0,0,0,0.00
rekey_r1,0,0,0,0.00
tput_hmac_canfd_r1,0,0,0,0.00
tput_pqc_eth1000_r1,0,0,0,0.00
tput_pqc_eth100_r1,0,0,0,0.00
