scenario,attacks_injected,attacks_detected,attacks_delivered,detection_rate_pct
attacks_aggregate_hmac,1397,1003,397,71.64
attacks_aggregate_pqc,62608,1397,3,99.79
attacks_downgrade_hmac_hmac,200,0,200,0.00
attacks_downgrade_hmac_pqc,10400,200,0,100.00
attacks_freshness_rollback_hmac,200,200,0,100.00
attacks_freshness_rollback_pqc,10400,200,0,100.00
attacks_mitm_key_confuse_hmac,200,200,0,100.00
attacks_mitm_key_confuse_pqc,10400,200,0,100.00
attacks_replay_hmac,197,3,197,1.50
attacks_replay_pqc,208,197,3,98.50
attacks_sig_fuzz_hmac,200,200,0,100.00
attacks_sig_fuzz_pqc,10400,200,0,100.00
attacks_tamper_auth_hmac,200,200,0,100.00
attacks_tamper_auth_pqc,10400,200,0,100.00
attacks_tamper_payload_hmac,200,200,0,100.00
attacks_tamper_payload_pqc,10400,200,0,100.00
baseline_hmac_r1,0,0,0,0.00
baseline_hybrid_r1,0,0,0,0.00
baseline_pqc_r1,0,0,0,0.00
mixed_bus_can,0,0,0,0.00
mixed_bus_eth,0,0,0,0.00
rekey_r1,0,0,0,0.00
tput_hmac_canfd_r1,0,0,0,0.00
tput_pqc_eth1000_r1,0,0,0,0.00
tput_pqc_eth100_r1,0,0,0,0.00
