scenario,attacks_injected,attacks_detected,attacks_delivered,detection_rate_pct
attacks_aggregate_hmac,557,403,157,71.96
attacks_aggregate_hybrid,25529,556,4,99.29
attacks_aggregate_pqc,25050,557,3,99.46
attacks_downgrade_hmac_hmac,80,0,80,0.00
attacks_downgrade_hmac_hybrid,4240,80,0,100.00
attacks_downgrade_hmac_pqc,4160,80,0,100.00
attacks_freshness_rollback_hmac,80,80,0,100.00
attacks_freshness_rollback_hybrid,4240,80,0,100.00
attacks_freshness_rollback_pqc,4160,80,0,100.00
attacks_mitm_key_confuse_hmac,80,80,0,100.00
attacks_mitm_key_confuse_hybrid,4240,80,0,100.00
attacks_mitm_key_confuse_pqc,4160,80,0,100.00
attacks_replay_hmac,77,3,77,3.75
attacks_replay_hybrid,89,76,4,95.00
attacks_replay_pqc,90,77,3,96.25
attacks_sig_fuzz_hmac,80,80,0,100.00
attacks_sig_fuzz_hybrid,4240,80,0,100.00
attacks_sig_fuzz_pqc,4160,80,0,100.00
attacks_tamper_auth_hmac,80,80,0,100.00
attacks_tamper_auth_hybrid,4240,80,0,100.00
attacks_tamper_auth_pqc,4160,80,0,100.00
attacks_tamper_payload_hmac,80,80,0,100.00
attacks_tamper_payload_hybrid,4240,80,0,100.00
attacks_tamper_payload_pqc,4160,80,0,100.00
baseline_hmac_r1,0,0,0,0.00
baseline_hybrid_r1,0,0,0,0.00
baseline_pqc_r1,0,0,0,0.00
bus_failure_aggregate,0,0,0,0.00
bus_failure_clean,0,0,0,0.00
bus_failure_heavy,0,0,0,0.00
bus_failure_noisy,0,0,0,0.00
deadline_relaxed,0,0,0,0.00
deadline_tight,0,0,0,0.00
mixed_bus_can,0,0,0,0.00
mixed_bus_eth,0,0,0,0.00
multi_ecu_aggregate,0,0,0,0.00
multi_ecu_rx0,0,0,0,0.00
multi_ecu_rx1,0,0,0,0.00
multi_ecu_rx2,0,0,0,0.00
multi_ecu_tx,0,0,0,0.00
persistence_aggregate,80,40,40,50.00
persistence_no_nvm,40,0,40,0.00
persistence_with_nvm,40,40,0,100.00
rekey_r1,0,0,0,0.00
tput_hmac_canfd_r1,0,0,0,0.00
tput_pqc_eth1000_r1,0,0,0,0.00
tput_pqc_eth100_r1,0,0,0,0.00
